delta_bucket,maturity_bucket,SSE_BS,SSE_MV,MSE_BS,MSE_MV,Gain,N
"(0.35, 0.45]","(519.286, 771.429]",417.92918419001,359.5255213565307,9.287315204222445,7.989456030145127,0.13974535649304232,45
"(0.35, 0.45]","(1023.571, 1275.714]",1806.4044505344416,1652.4181979787184,31.144904319559338,28.48996893066756,0.08524461535187478,58
"(0.35, 0.45]","(1275.714, 1527.857]",3591.3598484761183,3307.983462996949,50.582533077128424,46.59131638023872,0.07890503804552229,71
"(0.35, 0.45]","(1527.857, 1780.0]",1685.51132854531,1537.184255457095,40.13122210822167,36.599625129930835,0.08800123177826957,42
"(0.45, 0.55]","(14.999, 267.143]",84705.78237973983,82013.57656280235,13.318519242097457,12.895216440692193,0.03178302285041412,6360
"(0.45, 0.55]","(267.143, 519.286]",7827.1669750893325,7809.6705171155645,9.090786266073557,9.07046517667313,0.002235350035262096,861
"(0.45, 0.55]","(519.286, 771.429]",451.27109951058384,415.81705026732953,9.810241293708344,9.039501092768033,0.07856485664981694,46
"(0.45, 0.55]","(1023.571, 1275.714]",1239.0404979199702,1086.794477962576,19.360007779999535,16.98116371816525,0.12287412736950576,64
"(0.45, 0.55]","(1275.714, 1527.857]",2310.2731941222555,2054.1924119355713,31.647578001674734,28.139622081309195,0.11084437236176181,73
"(0.45, 0.55]","(1527.857, 1780.0]",2629.9017804098357,2435.0767898325003,59.77049500931445,55.342654314375004,0.0740807097925058,44
"(0.55, 0.65]","(14.999, 267.143]",94939.0518090032,92800.67210442858,12.902833896303777,12.612214202830739,0.02252371035763634,7358
"(0.55, 0.65]","(267.143, 519.286]",10391.499966263722,9767.163094346546,9.61285843317643,9.035303510033808,0.06008149679489028,1081
"(0.55, 0.65]","(519.286, 771.429]",686.391482996862,602.277627030207,12.710953388830777,11.153289389448277,0.12254501702061416,54
"(0.55, 0.65]","(1023.571, 1275.714]",1838.2425840636738,1663.185272225044,26.641196870488027,24.104134380073102,0.09523079998051343,69
"(0.55, 0.65]","(1275.714, 1527.857]",3145.731902682197,2886.233091680489,37.4491893176452,34.35991775810106,0.08249234805434225,84
"(0.55, 0.65]","(1527.857, 1780.0]",5439.086921202487,5192.919866928316,68.8492015342087,65.73316287251033,0.045258893237129616,79
"(0.65, 0.75]","(14.999, 267.143]",105513.87432092645,103683.20657250154,11.751183240998602,11.547299985800372,0.01735001922928947,8979
"(0.65, 0.75]","(267.143, 519.286]",13176.009713339603,12346.051320846223,9.745569314600298,9.131694763939514,0.06299011692842915,1352
"(0.65, 0.75]","(519.286, 771.429]",1254.1798560939792,1135.5587515103,17.664505015408157,15.993785232539437,0.09458061697236397,71
"(0.65, 0.75]","(1023.571, 1275.714]",7950.827799555392,7691.253378322743,99.3853474944424,96.14066722903428,0.03264747115352751,80
"(0.65, 0.75]","(1275.714, 1527.857]",4117.32352496366,3870.8738870102275,43.34024763119642,40.74604091589713,0.059856758027196255,95
"(0.65, 0.75]","(1527.857, 1780.0]",9175.88167046454,8917.575185169051,81.92751491486196,79.62120701043796,0.02815059027264155,112
"(0.75, 0.85]","(14.999, 267.143]",121805.2635238257,120991.33708940595,10.33825017177268,10.269167975675263,0.006682194273653463,11782
"(0.75, 0.85]","(267.143, 519.286]",19291.45384522059,18723.27709850936,10.079129490710862,9.7822764360028,0.029452251306191446,1914
"(0.75, 0.85]","(519.286, 771.429]",1614.4291883870847,1522.9069052432149,17.740980092165767,16.735240716958405,0.05669018115022206,91
"(0.75, 0.85]","(1023.571, 1275.714]",4123.840458339626,3992.8198833137544,43.870643173825805,42.47680726929526,0.03177149464182327,94
"(0.75, 0.85]","(1275.714, 1527.857]",5525.06046353743,5371.781384448175,53.64136372366437,52.153217324739565,0.027742516140921603,103
"(0.75, 0.85]","(1527.857, 1780.0]",40907.081593878815,40750.08879537867,270.9078251250253,269.86813771773956,0.003837790240299954,151
"(0.85, 0.95]","(14.999, 267.143]",179166.84640570133,179653.84164900324,10.05482049529723,10.08215060603868,-0.002718110259077644,17819
"(0.85, 0.95]","(267.143, 519.286]",36456.45509626089,36292.994504128845,10.524380801460996,10.477192408813178,0.0044837215165446365,3464
"(0.85, 0.95]","(519.286, 771.429]",1894.5600306212634,1863.4475026136706,14.352727504706541,14.11702653495205,0.016422033350608767,132
"(0.85, 0.95]","(1023.571, 1275.714]",4247.1155377338055,4221.466804078708,33.97692430187045,33.771734432629664,0.006039094869734307,125
"(0.85, 0.95]","(1275.714, 1527.857]",7856.047375140081,7832.59868075263,37.0568272412268,36.94622019222938,0.0029847954407268285,212
"(0.85, 0.95]","(1527.857, 1780.0]",11013.423217939773,10973.081059766788,46.47014016008343,46.29992008340417,0.0036629989944699792,237
